name,size,tag,value
v1.BioBlaster,3,物理_長射程,500
v1.BlessedArrow,2,魔法_刺突_中射程,200
v1.BlockLook,1,魔法_接触_隣接,100
v1.BloodDagger,1,物理_刺突_接触_隣接,100
v1.BottleGrenade,2,物理_爆発_中射程,100
v1.BottleRocket,1,物理_刺突_長射程,100
v1.Cannon,3,物理_爆発_長射程,300
v1.ChiefNinjaSword,2,物理_切断_接触_隣接,500
v1.ChopperOfPoor,1,物理_切断_隣接_中射程,200
v1.ClubOfPoor,1,物理_殴打_隣接_中射程,100
v1.ColdRain,1,魔法_特殊射程,50
v1.ConcurrentArrow,2,物理_刺突_中射程_長射程,400
v1.CrowdStones,1,物理_殴打_中射程,100
v1.CurseBook,1,魔法_接触_隣接,200
v1.CurseMusicBox,2,魔法_中射程,100
v1.CurseSong,3,魔法_中射程_長射程,400
v1.CurseSword,2,物理_切断_隣接_中射程,200
v1.DeepSleep,1,魔法_隣接_中射程,100
v1.DimensionSlash,2,異次元_切断_長射程,600
v1.DuplicateArrow,1,魔法_刺突_中射程,200
v1.EarthQuake,2,魔法_殴打_特殊射程,300
v1.ElectricBurst,3,魔法_長射程,0
v1.FairySting,1,魔法_刺突_接触_隣接,1
v1.Fireball,1,魔法_爆発_中射程,100
v1.FirstArrow,1,物理_刺突_中射程,200
v1.FlameProjector,2,物理_中射程,200
v1.GoldenArrow,2,物理_殴打_長射程,100
v1.GravityGun,2,魔法_中射程,300
v1.GreatThunder,2,魔法_長射程,300
v1.HardPushBlower,2,物理_殴打_隣接_中射程,300
v1.HeavyAttack,3,物理_殴打_接触_隣接,500
v1.HeresyBlowgun,1,物理_刺突_中射程_長射程,300
v1.HeresyClaw,1,物理_切断_接触_隣接,200
v1.HeresyTrident,1,物理_刺突_隣接_中射程,400
v1.IcicleClub,2,物理_殴打_隣接,700
v1.IciclePic,1,物理_刺突_接触_隣接,250
v1.IcicleSpear,2,物理_刺突_中射程,500
v1.InfinityArrow,1,魔法_刺突_長射程,200
v1.IronDagger,1,物理_切断_接触_隣接,350
v1.IronLongSword,3,物理_切断_隣接_中射程,500
v1.IronSword,2,物理_切断_隣接,500
v1.KingArrow,3,物理_刺突_特殊射程,800
v1.KingPressure,3,物理_隣接_中射程,300
v1.KingSword,3,物理_切断_隣接,1500
v1.MassProRailgun,2,物理_特殊射程,800
v1.Meteor,3,物理_爆発_特殊射程,500
v1.NinjaSword,1,物理_切断_接触_隣接,200
v1.OilBottle,3,物理_隣接_中射程,1000
v1.PlantNeedle,1,物理_刺突_隣接_中射程,100
v1.PlantParty,3,物理_特殊射程,0
v1.PoisonArrow,2,物理_刺突_長射程,400
v1.PoisonKnife,1,物理_切断_接触_隣接,100
v1.PortableRailgun,1,物理_特殊射程,500
v1.PrototRailgun,3,物理_特殊射程,1400
v1.PushBlower,1,物理_殴打_隣接_中射程,100
v1.Qualm,2,魔法_特殊射程,100
v1.SecondArrow,2,物理_刺突_中射程,200
v1.ShadowClaymore,3,魔法_切断_中射程_長射程,1200
v1.ShadowDagger,1,魔法_刺突_接触_隣接,200
v1.ShadowLongSword,3,魔法_切断_隣接_中射程,800
v1.ShadowSword,2,魔法_切断_隣接_中射程,600
v1.ShotSpirit,3,物理_刺突_特殊射程,0
v1.SlingShot,1,物理_殴打_中射程,250
v1.Slump,1,魔法_接触_隣接,100
v1.StoneMissile,1,物理_殴打_長射程,400
v1.StoneOfPoor,1,物理_殴打_長射程,100
v1.ThirdArrow,3,物理_刺突_中射程,200
v1.Thunder,3,魔法_長射程,800
v1.ThunderPunch,1,魔法_接触_隣接,200
v1.ToyGun,1,物理_殴打_中射程,450
v1.UndeadShoot,2,死霊_物理_殴打_隣接_中射程,0
v1.VirusGun,1,物理_長射程,100
v1.VirusScatter,2,物理_中射程,300
