name,size,tag,value
v1.AnesthetizeShield,1,魔法,250
v1.BioShield,1,,200
v1.BioWall,2,,300
v1.BlessedShield,3,魔法,300
v1.BricksWall,1,,300
v1.Buckler,2,,500
v1.Camouflage,1,魔法,200
v1.ConcurrentShield,1,,300
v1.Confusion,1,魔法,350
v1.CurseSign,1,魔法,200
v1.CuttingRegistShield,1,,300
v1.Decoy,1,魔法,250
v1.Dodge,2,,500
v1.ElectricBarrier,2,魔法,900
v1.ElectricShield,1,,350
v1.FireWall,1,魔法,200
v1.GrowUpShield,2,魔法,200
v1.GuardFaintness,2,魔法,400
v1.HeavyLargeShield,3,,700
v1.IceArmor,2,魔法,1200
v1.ImpactAbsorbeShield,1,,250
v1.ImpactAbsorbeWall,2,,500
v1.Invisible,1,魔法,200
v1.KingShield,3,,2000
v1.LargeMagicShield,3,魔法,800
v1.LargePhysicalShield,3,,800
v1.LargeShield,3,,1000
v1.LastHopeShield,1,魔法,100
v1.MagicShield,2,魔法,500
v1.Manifer,1,,250
v1.MassProFullProtectionShield,2,,400
v1.MassProFullReflectionShield,2,,400
v1.MystBody,1,魔法,100
v1.NeedleArmor,2,,350
v1.PhysicalShield,2,,500
v1.PoisonShield,2,,400
v1.ProtoFullProtectionShield,3,,0
v1.ProtoFullReflectionShield,3,,0
v1.ReflectionWave,1,魔法,150
v1.ScaleArmor,2,,500
v1.Shield,2,,700
v1.ShieldSpirit,3,魔法,0
v1.SkyAbsolver,2,魔法,400
v1.SmallMagicShield,1,魔法,200
v1.SmallPhysicalShield,1,,200
v1.SmallPoisonShield,1,,300
v1.SmallShield,1,,400
v1.SpikeShield,1,,100
v1.UndeadGuard,3,死霊,0
