name,size,tag,value
v1.AfterShot,2,,0
v1.AppendConditionDamage.Fire.20,2,,0
v1.AppendConditionDamage.Poison.20,2,,0
v1.BattleDoll1th,1,機械,0
v1.ConditionCount,2,,0
v1.DecrementDice,2,,0
v1.DragonEgg,1,,0
v1.ExpandArea,2,,0
v1.ExpandPack,2,,0
v1.ExpandTurnResource,2,,0
v1.GuardBooster,1,,0
v1.HeresyIdol,1,,0
v1.IncrementDice,2,,0
v1.Manure,1,,0
v1.MustUse,2,,0
v1.NoNeedCoin,2,,0
v1.NoTrespassing,2,,0
v1.ReverseSet,2,,0
v1.RevolutionByCrowd,1,人間,0
v1.Scapegoat,3,,0
v1.SetBooster,1,,0
v1.ShotBooster,1,,0
v1.TurnAdd,2,,0
v1.WinFlag,3,,0
