name,size,tag,value
v1.AlianBeast,1,獣_異次元,600
v1.AlianBoundary,1,人間_異次元,500
v1.AlianDoragon,3,異次元,900
v1.AlianHuman,1,人間_異次元,600
v1.AlianMachine,2,機械_異次元,900
v1.AlienFrame,2,異次元,800
v1.ArtfulMagician,3,魔法,400
v1.BattleDoll2th,2,機械,1000
v1.BattleDoll3th,3,機械,1500
v1.BeastPackHead,3,獣,500
v1.BeastTamer,2,人間,200
v1.BigWorm,2,,500
v1.BlastTrap,3,,400
v1.BlessedTrap,3,魔法,300
v1.BurningFairy,1,魔法,100
v1.ChiefNinja,2,人間,500
v1.ChildcareAnt,1,,100
v1.CoinCollector,1,人間,200
v1.ConcurrentTrap,2,,400
v1.CorpseShoulder,2,獣,100
v1.CowardiceBeetle,1,,600
v1.CurseDoll,2,,300
v1.CurseGhost,2,死霊,200
v1.DaemonBody,3,,600
v1.DaemonHead,2,,200
v1.DaemonLeftArm,1,,100
v1.DaemonLeftLeg,1,,100
v1.DaemonRightArm,1,,100
v1.DaemonRightLeg,1,,100
v1.Diabrosis,3,,300
v1.DozeFog,3,,800
v1.Dragon,3,,1600
v1.DragonUndead,2,死霊,1000
v1.ElectricAutomaton,1,機械,500
v1.ElectricGiant,2,機械,900
v1.ElectricKing,3,,1500
v1.ExplorerAnt,1,,300
v1.Fairy,1,魔法,50
v1.Fighter,1,人間,400
v1.FireLizard,2,,200
v1.FlameAnt,1,,100
v1.FusionBomb,3,,0
v1.GermHole,2,,500
v1.GiantTree,3,植物,500
v1.GoldenTrap,2,,300
v1.GraveKeeper,2,人間,1000
v1.GravityFlower,2,植物,200
v1.GravityMaker,1,,100
v1.HardTree,2,植物,400
v1.HeresyBishop,2,人間,900
v1.IceGolem,2,魔法,900
v1.IncertitudeTrap,1,魔法,200
v1.KnightAnt,1,,200
v1.MachineRider,2,人間,200
v1.MagicCollector,3,人間,500
v1.MagiciansStrawA,1,魔法,100
v1.MagiciansStrawN,1,魔法,200
v1.MagiciansStrawP,1,魔法,100
v1.ManEater,3,獣,300
v1.MoanBeast,2,獣,900
v1.Ninja,1,人間,100
v1.PhantomSoldier,2,,300
v1.Planter,3,,0
v1.PoisonEater,3,獣,700
v1.PoisonFlower,1,植物,100
v1.PoisonTrap,2,,400
v1.PropagateVirus,3,,100
v1.QueenAnt,2,,1000
v1.RisingStar,3,人間,1100
v1.RisingStarFan,1,人間,50
v1.SickRat,1,,200
v1.SmallPoisonTrap,1,,200
v1.SoldierAnt,1,,300
v1.Sorcerer,2,人間_魔法,700
v1.SpikeFlower,1,植物,100
v1.ThunderFairy,1,魔法,100
v1.ToyFighter,1,機械,800
v1.ToyGiant,1,機械,1000
v1.ToyPorn,1,機械,600
v1.TrashWatcher,1,人間,200
v1.UndeadCommander,2,死霊,200
v1.UndeadCurse,1,死霊,50
v1.UndeadLeader,3,死霊,300
v1.UndeadSoldier,1,死霊,100
v1.VeteranFighter,3,人間,1000
v1.VirusCarrier,1,人間,100
