Key,Id,Japanese(ja),English(en)
"NotUse",52060172288,"このコインは使用できない。","This coin cannot be used."
"AfterShot",3257255014400,"コイン使用ステップ{no}で{directattackcoin}が使用できる。","{directattackcoin} can be used in step {no} of coin use."
"AppendConditionDamage0",4098548510720,"[{name}]によるダメージ基準値が{value}増加する。","The base value of the damage caused by [{name}] is increased by {value}."
"AppendConditionDamage1",4113014665216,"[{name}]によるダメージ基準値が{value}減少する。","The base value of damage caused by [{name}] is reduced by {value}."
"AdjustDice0",6074904555520,"ダイスによる移動量が{value}増加する。","The amount of movement by dice is increased by {value}."
"AdjustDice1",6135940067328,"ダイスによる移動量が{value}減少する。","The amount of movement by dice is reduced by {value}."
"ChangeAreaType0",9568109670400,"エリアを選択する。そのエリアのタイプを元に戻す。","Restore the selected area type."
"ChangeAreaType1",9582097674240,"エリアを選択する。そのエリアのタイプを{areatype}にする。","Set the type of the selected area to {areatype}."
"ClearALLAreaStatus",11117410070528,"全てのエリアは{status}を全て失う。","All areas lose all {status}."
"ClearAreaStatus",15580438933504,"エリアを選択する。そのエリアの{status}を全て消す。","Removes all abnormalities in the selected area."
"ClearCoinStatusALLSetCoins",16550640168960,"全ての{settedcoin}が持つ{status}を全て消す。","Erase all {status} that all {settedcoin} have."
"RemoveCoinStatusALLSetCoins",16564137439232,"全ての{settedcoin}の{status}[{name}]を全て消す。","Removes all state abnormalities [{name}] of all installed coins."
"ALLSetCoins",17341320998912,"全ての{settedcoin}","all installed coins"
"ExpandArea",180751639719936,"フィールド両端にエリアEを追加する。","Add area E at both ends of the field."
"SwapSetBySideArea",181301894656000,"隣接エリア二つを選択する。それらのエリアにある、あなたの設置コインを入れ替える。","Select two adjacent areas. Swap your installation coins in those areas."
"ClearCoinStatusALLSetCoinsByPlayer0",182898481639424,"あなたが所有する{settedcoin}の{status}を全て消す。","Erase all {status} of {settedcoin} you own."
"ClearCoinStatusSetCoin",189756684578816,"設置されているコインを選択する。そのコインは{status}を全て失う。","Select a coin that is installed. That coin loses all {status}."
"DestroyALLCopySetCoins",192343727091712,"複製である設置コインを全て{trash}に移動する。","Move all installation coins that are duplicates to {trash}."
"ProgressTurnALLSetCoins0",192862650576896,"設置されている全てのコインの経過ターン数を{value}進める。","Advance {value} the number of elapsed turns of all installed coins."
"ProgressTurnCoinAreaSetCoin0",195539409252352,"エリアを選択する。そのエリアに設置されているコインの経過ターン数を{value}進める。","Select an area. Advance {value} the number of elapsed turns of the coins placed in the area."
"RemoveAreaStatus",197127406301184,"指定したエリアの{status}[{name}]を消す。","Removes the status [{name}] of the selected area."
"RemoveALLAreaStatus",198709925588992,"全てのエリアから{status}[{name}]を消す。","Remove the status [{name}] from all areas."
"ClearPlayerCondition",199633951731712,"あなたは{abnormalstate}を全て失う。","You lose all {abnormalstate}."
"ProgressTurnHandCoinsByPlayer0",200931828772864,"あなたの手持ちコインの経過ターン数を{value}進める。","Advance {value} the number of elapsed turns of your coin hand."
"ProgressTurnHandCoinsByPlayer1",201577655119872,"あなたの手持ちコインの経過ターン数を{value}戻す。","Return {value} the number of elapsed turns of the coins you have."
"RemovePlayerCondition",202203973758976,"{player}は[{name}]を全て失う。","{player} loses all [{name}]."
"ProgressTurnALLSetCoinsByPlayer0",203130445180928,"あなたが所有する、全ての{settedcoin}の経過ターン数を{value}進める。","Advance {value} the number of turns elapsed for all {settedcoin} you own."
"ProgressTurnALLSetCoinsByPlayer1",203143351054336,"あなたが所有する、全ての{settedcoin}の経過ターン数を{value}戻す。","Return {value} the number of turns elapsed for all {settedcoin} you own."
"ReturnSetToHand",216960072101888,"あなたの設置コインを選択する。そのコインを{dst}に移動する。","Select your installation coin. Move that coin to {dst}."
"ProgressTurnCoinAreaSetCoin1",220100095848448,"エリアを選択する。そのエリアに設置されているコインの経過ターン数を{value}戻す。","Select an area. Return {value} the number of turns elapsed for the coins placed in that area."
"ReturnTrashToHand",656048029904896,"あなたの{src}にあるコインを選択する。そのコインを{dst}に移動する。","Select a coin in your {src}. Move that coin to {dst}."
"ConditionCount0",360610655580160,"{abnormalstate}が発動するために必要な{count}を{value}増やす。","Increase {value} by {count} required for {abnormalstate} to trigger."
"ConditionCount1",360630100373504,"{abnormalstate}が発動するために必要な{count}を{value}減らす。","Reduce {value} by {count} required for {abnormalstate} to trigger."
"ExpandPack0",362568602824704,"{handcoin}の所持サイズ上限及び枚数上限を{value}増やす。","Increase the maximum size and number of coins in your possession by {value}."
"ExpandPack1",362591944126464,"{handcoin}の所持サイズ上限及び枚数上限を{value}減らす。","Reduce the maximum size and number of coins in your possession by {value}."
"ExpandTurnResource0",363689220190208,"ターン毎に使用できる{resource}を{value}増やす。","Increase the number of resources available per turn by {value}."
"ExpandTurnResource1",363710313345024,"ターン毎に使用できる{resource}を{value}減らす。","Reduces resources available per turn by {value}."
"FixDice0",364804225576960,"あなたの次の移動マス数を{value}にする。","Set the number of your next move squares to {value}."
"GetCondition0",365725756108800,"あなたは[{name}{value}]を得る。","You get [{name}{value}]."
"GetCondition1",365753962803200,"あなたは[{name}{value}]を失う。","You lose [{name}{value}]."
"InvalidEffectSetCoin",367033410072576,"設置コインを選択する。そのコインの効果を{value}ターンの間無効にする。","Select an installation coin. Disable the effect of that coin for {value} turns."
