Key,Id,Japanese(ja),English(en)
"AddValueStatusByChangeHiddenSide0",1854763218448384,"設置されている時、{player}が所有する{settedcoin}が裏向きになるたび、効果が{value}増加する。","When placed in {field}, Whenever {settedcoin} owned by {player} is turned face down, the effect is increased by {value}."
"AddValueStatusByMoveCoinNameFrom0",1866678124621824,"設置されている時、あなたの[{coinname}]が{src}から離れるたび、効果が{value}増加する。","When installed, each time your [{coinname}] leaves {src}, the effect increases by {value}."
"AddValueStatusByMoveCoinName0",1866691806441472,"設置されている時、{player}が所有する[{coinname}]が{src}から{dst}に移動するたび、効果が{value}増加する。","When placed in {field}, Each time [{coinname}] owned by {player} moves from {src} to {dst}, the effect is increased by {value}."
"AddValueStatusByMoveCoinTagTo0",1870068938387456,"設置されている時、タグ[{tagname}]を持つあなたのコインが{dst}に移動するたび、効果が{value}増加する。","Whenever your coin with tag [{tagname}] moves to {dst} while this coin is in place, the effect is increased by {value}."
"AddValueStatusByMoveCoinTagFrom0",1870083614257152,"設置されている時、{player}が所有するタグ[{tagname}]を持つコインが{src}から離れるたび、効果が{value}増加する。","When placed in {field}, Whenever a coin with tag [{tagname}] owned by {player} leaves {src}, the effect is increased by {value}."
"AddValueStatusByMoveCoinTag0",1870094980820992,"設置されている時、{player}が所有するタグ[{tagname}]を持つコインが{src}から{dst}に移動するたび、効果が{value}増加する。","When placed in {field}, Whenever a coin with tag [{tagname}] owned by {player} is moved from {src} to {dst}, the effect is increased by {value}."
"AddValueStatusByMoveCoinAnyFrom0",1871181108424704,"設置されている時、あなたが設置したコインがフィールドから離れるたび、効果が{value}増加する。","When installed, each time a coin you install leaves the field, the effect is increased by {value}."
"AddValueStatusByMoveCoinAnyTo0",1872935589982208,"設置されている時、{player}が所有するコインが{dst}に移動するたび、効果が{value}増加する。","When placed in {field}, each time a coin owned by {player} is moved to {dst}, the effect is increased by {value}."
"AddValueStatusByMoveCoinAny0",1872946830716928,"設置されている時、{player}が所有する{src}が{dst}に移動するたび、効果が{value}増加する。","When placed in {field}, Whenever {src} owned by {player} moves to {dst}, the effect is increased by {value}."
"AddValueStatusByFirstSet0",1874231323734016,"このコインを設置した時、{field}にあるあなたのコインがこのコインのみだったなら、効果が{value}増加する。","If this coin was the only coin you had in {field} when you placed it, the effect is increased by {value}."
"AddValueStatusByGetPlayerCondition0",1875901378146304,"設置されている時、いずれかのプレイヤーが[{conditionName}]を得るたび、効果が{value}増加する。","When installed, whenever either player gains [{conditionName}], the effect is increased by {value}."
"AddValueStatusByLoopTurn0",1899372661387264,"設置されている時、{turn}ターンが経過するごとに効果が{value}増加する。","When placed in {field}, The effect is increased by {value} for every {turn} turns that pass."
"AddValueStatusByMovePlayer0",1900197018284032,"設置されている時、エリア{areaType}に止まるたび、効果が{value}増加する。","When placed in {field}, Each time it stops at an area {areaType}, the effect is increased by {value}."
"AddValueStatusByResourceOver0",1900699667869696,"設置されている時、{player}の{resource}が{num}以上になるたび、効果が{value}増加する。","When placed in {field}, Whenever {resource} of {player} is {num} or more, the effect is increased by {value}."
"AddValueStatusByResourceUnder0",1900713588764672,"設置されている時、{player}の{resource}が{num}以下になるたび、効果が{value}増加する。","When placed in {field}, Whenever {resource} of {player} becomes less than {num}, the effect is increased by {value}."
"AddValueStatusByResourceEqual0",1900725106323456,"設置されている時、{player}の{resource}が{num}になるたび、効果が{value}増加する。","When placed in {field}, Whenever {resource} of {player} is {num}, the effect is increased by {value}."
"AddValueStatusByUseCoin0",1903622544109568,"設置されている時、コインが使用されるたび、効果が{value}増加する。","When placed in {field}, Each time a coin is used, the effect is increased by {value}."
"AddValueStatusBySetCoinName0",1904102779334656,"設置されている時、あなたの[{coinname}]が設置されるたび、効果が{value}増加する。","Whenever this coin is installed, the effect is increased by {value} each time your [{coinname}] is installed."
"AddValueStatusByUseCoinTag0",1904593491931136,"設置されている時、タグ[{tagname}]を持つコインが使用されるたび、効果が{value}増加する。","When placed in {field}, Each time a coin with the tag [{tagname}] is used, the effect is increased by {value}."
"AfterStopSideCopy",1905384474750976,"対戦相手がこのコインがあるエリアに止まった時、隣のエリアにあなたの設置コインがないなら、[{coinname}]の複製を設置する。","When your opponent stops in the area where this coin is located, if there is no coin of your installation in the neighboring area, you install a duplicate of [{coinname}]."
"AppendProtectionByTag0",1907469438103552,"タグ[{tagname}]を持つ{cointype}に対して使用した場合、軽減量が{value}増加する。","When used against {cointype} with the tag [{tagname}], the amount of reduction is increased by {value}."
"AppendValueByCoinExist0",1914144492564480,"{player}の{coinposition}がある時、効果が{value}増加する。","When {player} has {coinposition}, the effect is increased by {value}."
"AppendValueByCoinOver0",1915465585078272,"あなたの{coinposition}コインが{num}枚以上である時、効果が{value}増加する。","When your {coinposition} coins are {num} or more, the effect is increased by {value}."
"AppendValueByCoinUnder0",1915475840151552,"{player}の{coinposition}が{num}枚以下である時、効果が{value}増加する。","When {coinposition} of {player} is less than or equal to {num} cards, the effect increases by {value}."
"AppendValueByCoinNotExist0",1916089240334336,"{player}の{coinposition}がない時、効果が{value}増加する。","When {player} has no {coinposition}, the effect is increased by {value}."
"AppendValueByCoinNameExist0",1917512367681536,"あなたの{coinposition}に[{coinname}]がある時、効果が{value}増加する。","When [{coinname}] is in your {coinposition}, the effect is increased by {value}."
"AppendValueByCoinNameOver0",1917533687328768,"あなたの{coinposition}に[{coinname}]が{num}枚以上ある時、効果が{value}増加する。","When there are {num} or more [{coinname}] cards in your {coinposition}, the effect is increased by {value}."
"AppendValueByCoinNameUnder0",1917544059842560,"{player}の{coinposition}にある[{coinname}]が{num}枚以下である時、効果が{value}増加する。","When [{coinname}] in {coinposition} of {player} is less than or equal to {num} cards, the effect increases by {value}."
"AppendValueByCoinNameNotExist0",1917553127927808,"あなたの[{coinname}]が{coinposition}にない時、効果が{value}増加する。","When [{coinname}], the same owner as this coin, is not in {coinposition}, the effect is increased by {value}."
"AppendValueByCoinNumCompareOver0",2131402674352128,"{player1}の{coinposition}が{player2}の{coinposition}より多い時、効果が{value}増加する。","When {player1}'s {coinposition} is greater than {player2}'s {coinposition}, the effect increases by {value}."
"AppendValueByCoinNumCompareMoreThan0",2131417039843328,"{player1}の{coinposition}が{player2}の{coinposition}より{num}枚以上多い時、効果が{value}増加する。","When {coinposition} of {player1} is more than {num} more than {coinposition} of {player2}, the effect increases by {value}."
"AppendValueByCoinNumCompareUnder0",2131431610855424,"{player1}の{coinposition}が{player2}の{coinposition}より少ない時、効果が{value}増加する。","When {player1}'s {coinposition} is less than {player2}'s {coinposition}, the effect increases by {value}."
"AppendValueByCoinNumCompareLessThan0",2131442272776192,"{player1}の{coinposition}が{player2}の{coinposition}より{num}枚以上少ない時、効果が{value}増加する。","When {coinposition} of {player1} is more than {num} cards less than {coinposition} of {player2}, the effect increases by {value}."
"AppendValueByCoinNumCompareEqual0",2131452884365312,"{player1}の{coinposition}が{player2}の{coinposition}と同じ枚数である時、効果が{value}増加する。","When {player1}'s {coinposition} is the same number as {player2}'s {coinposition}, the effect increases by {value}."
"AppendValueByCoinTagExist0",2133458432765952,"{player}の{coinposition}にタグ[{tagname}]を持つコインがある時、効果が{value}{valueext}する。","When {player}'s {coinposition} has a coin with the tag [{tagname}], the effect will be {value}{valueext}."
"AppendValueByCoinTagOver0",2133539496079360,"{player}の{coinposition}にタグ[{tagname}]を持つコインが{num}枚以上ある時、効果が{value}{valueext}する。","When {player} has {num} or more coins with the tag [{tagname}] in {coinposition}, the effect will be {value}{valueext}."
"AppendValueByCoinTagUnder0",2133553739935744,"{player}の{coinposition}にあるタグ[{tagname}]を持つコインが{num}枚以下である時、効果が{value}{valueext}する。","When there are less than {num} coins with the tag [{tagname}] in {coinposition} of {player}, the effect will be {value}{valueext}."
"AppendValueByCoinTagNotExist0",2133564372496384,"{player}の{coinposition}にタグ[{tagname}]を持つコインがない時、効果が{value}{valueext}する。","When there are no coins with the tag [{tagname}] in {coinposition} of {player}, the effect will be {value}{valueext}."
"AppendValueByCoinTotalSizeOver0",2134856817913856,"{player}の{coinposition}にあるコインサイズ合計が{num}以上である時、効果が{value}増加する。","When the total coin size in {coinposition} of {player} is greater than or equal to {num}, the effect increases by {value}."
"AppendValueByCoinTotalSizeUnder0",2134878775095296,"{player}の{coinposition}にあるコインサイズ合計が{num}以下である時、効果が{value}増加する。","When the total coin size in {coinposition} of {player} is less than or equal to {num}, the effect increases by {value}."
"AppendValueByCoinTotalSizeZero0",2135443148058624,"{player}の{coinposition}にコインがない時、効果が{value}増加する。","When {player} has no coins in {coinposition}, the effect increases by {value}."
"AppendValueByCoinTypeExist0",2136082443874304,"{player}の{coinposition}に{cointype}がある時、{value}増加する。","When {coinposition} of {player} has {cointype}, {value} is increased."
"AppendValueByCoinTypeOver0",2136100487770112,"{player}の{coinposition}に{cointype}が{num}枚以上ある時、{value}増加する。","When {coinposition} of {player} has {cointype} of {num} or more, {value} will be increased."
"AppendValueByCoinTypeUnder0",2136110692511744,"{player}の{coinposition}にある{cointype}が{num}枚以下である時、{value}増加する。","When the {cointype} in {coinposition} of {player} is less than or equal to {num} cards, {value} is increased."
"AppendValueByCoinTypeNotExist0",2136120377159680,"{player}の{coinposition}に{cointype}がない時、{value}増加する。","When {coinposition} of {player} has no {cointype}, {value} is increased."
"AppendValueByCurrentArea0",2137130407505920,"あなたがエリア{areatype}にいる場合、効果が{value}増加する。","If you are in area {areatype}, the effect is increased by {value}."
"AppendValueByLastUse0",2138370256351232,"最後の一枚として使用した場合、効果が{value}増加する。","If used as the last card, the effect is increased by {value}."
