Key,Id,Japanese(ja),English(en)
"v1.ChangeAreaType.Null",2837895917568,"エリアタイプリセット","Reset area type"
"v1.ChangeAreaType.A",3109837811712,"エリアチェンジA","Change area type A"
"v1.ChangeAreaType.B",3198392152064,"エリアチェンジB","Change area type B"
"v1.ChangeAreaType.C",3223901908992,"エリアチェンジC","Change area type C"
"v1.ChangeAreaType.D",3277484142592,"エリアチェンジD","Change area type D"
"v1.ClearMyCurse",3505939492864,"解呪","Lifting a spell"
"v1.ClearMyGravity",3741609046016,"重力補正器","Gravity compensator"
"v1.ClearMyHeat",3819912507392,"消火剤","Fire extinguisher"
"v1.ClearMyInebriety",3879375155200,"気付け薬","Restorative"
"v1.ClearMyPoison",3939680858112,"毒消し","Antidote"
"v1.ClearMyShock",4001110634496,"放電板","Discharge plate"
"v1.ClearMyVirus",4072631906304,"抗生物質","Antibiotics"
"v1.ClearMyStatusALL",4121084506112,"万能薬","Cure-all"
"v1.ClearSetStatus",4225140994048,"イレース","Erase"
"v1.ClearSetStatusALL",4300651048960,"イレースオール","Erase all"
"v1.ClearAreaStatus",4355017617408,"クリアエリア","Clear area status"
"v1.ClearALLAreaStatus",4429592342528,"フィールドリセット","Reset field "
"v1.AfterShot",4503672139776,"後打ち法","After shot"
"v1.ExpandArea",4557946433536,"領土拡大法","Expand area"
"v1.NoNeedCoin",4611126013952,"要求禁止令","No need"
"v1.NoAppendValue",4672404795392,"強化禁止令","Reinforcement prohibition"
"v1.ExpandTurnResource",4740100861952,"活動拡大許可法","Expansion of activity"
"v1.ExpandPack",4805389398016,"所持拡大許可法","expansion of pack"
"v1.ProgressTurnALLSetCoins",4895369801728,"設置全加速","Set full acceleration"
"v1.ProgressTurnAreaSetCoins",4948008316928,"指定エリア加速","Fast area"
"v1.ProgressTurnMyHand",5016312557568,"手持ちコイン加速","Fast hand coins"
"v1.ProgressTurnSetCoin",5092007161856,"設置加速","Installation acceleration"
"v1.FixDice.1",5154334519296,"ダイス1","Dice 1"
"v1.FixDice.2",5163784286208,"ダイス2","Dice 2"
"v1.FixDice.3",5179701669888,"ダイス3","Dice 3"
"v1.FixDice.4",5193710645248,"ダイス4","Dice 4"
"v1.FixDice.5",5207027560448,"ダイス5","Dice 5"
"v1.FixDice.6",5220776488960,"ダイス6","Dice 6"
"v1.DecrementDice",5459650490368,"減速法","Deceleration move"
"v1.IncrementDice",5503644545024,"加速法","Acceleration move"
"v1.ReverseSet",5576403136512,"隠匿法","Concealment"
"v1.MakeCopyOfSetCoin",5637195378688,"複製","Copy"
"v1.AppendConditionDamage.Fire.20",5701607305216,"炎上強化法","Spread of fire"
"v1.AppendConditionDamage.Poison.20",5762345021440,"毒強化法","Spread of poison"
"v1.TurnAdd",5826907942912,"ターン加速法","Acceleration turn"
"v1.MustUse",5879798116352,"コイン強制使用令","Forced use"
"v1.ReturnSetToHand",5932642152448,"回収","Collection"
"v1.ReturnTrashToHand",5982696976384,"再利用","Reuse"
"v1.ConditionCount",6024447078400,"異常推進法","Change promotion"
"v1.MyTrashToExclusion",6092579352576,"墓場抹消","Erasure of a grave"
