Key,Id,Japanese(ja),English(en)
"v1.ChangeAreaType.Null",2837895917568,"えりあたいぷりせっと","Reset area type"
"v1.ChangeAreaType.A",3109837811712,"えりあちぇんじA","Change area type A"
"v1.ChangeAreaType.B",3198392152064,"えりあちぇんじB","Change area type B"
"v1.ChangeAreaType.C",3223901908992,"えりあちぇんじC","Change area type C"
"v1.ChangeAreaType.D",3277484142592,"えりあちぇんじD","Change area type D"
"v1.ClearMyCurse",3505939492864,"かいじゅ","Lifting a spell"
"v1.ClearMyGravity",3741609046016,"じゅうりょくほせいき","Gravity compensator"
"v1.ClearMyHeat",3819912507392,"しょうかざい","Fire extinguisher"
"v1.ClearMyInebriety",3879375155200,"きつけぐすり","Restorative"
"v1.ClearMyPoison",3939680858112,"どくけし","Antidote"
"v1.ClearMyShock",4001110634496,"ほうでんばん","Discharge plate"
"v1.ClearMyVirus",4072631906304,"こうせいぶっしつ","Antibiotics"
"v1.ClearMyStatusALL",4121084506112,"ばんのうやく","Cure-all"
"v1.ClearSetStatus",4225140994048,"いれぇす","Erase"
"v1.ClearSetStatusALL",4300651048960,"いれぇすおぉる","Erase all"
"v1.ClearAreaStatus",4355017617408,"くりあえりあ","Clear area status"
"v1.ClearALLAreaStatus",4429592342528,"ふぃぃるどりせっと","Reset field"
"v1.AfterShot",4503672139776,"あとうちほう","After shot"
"v1.ExpandArea",4557946433536,"りょうどかくだいほう","Expand area"
"v1.NoNeedCoin",4611126013952,"ようきゅうきんしれい","No need"
"v1.NoAppendValue",4672404795392,"きょうかきんしれい","Reinforcement prohibition"
"v1.ExpandTurnResource",4740100861952,"かつどうかくだいきょかほう","Expansion of activity"
"v1.ExpandPack",4805389398016,"しょじかくだいきょかほう","expansion of pack"
"v1.ProgressTurnALLSetCoins",4895369801728,"せっちぜんかそく","Set full acceleration"
"v1.ProgressTurnAreaSetCoins",4948008316928,"していえりあかそく","Fast area"
"v1.ProgressTurnMyHand",5016312557568,"てもちこいんかそく","Fast hand coins"
"v1.ProgressTurnSetCoin",5092007161856,"せっちかそく","Installation acceleration"
"v1.FixDice.1",5154334519296,"だいす1","Dice 1"
"v1.FixDice.2",5163784286208,"だいす2","Dice 2"
"v1.FixDice.3",5179701669888,"だいす3","Dice 3"
"v1.FixDice.4",5193710645248,"だいす4","Dice 4"
"v1.FixDice.5",5207027560448,"だいす5","Dice 5"
"v1.FixDice.6",5220776488960,"だいす6","Dice 6"
"v1.DecrementDice",5459650490368,"げんそくほう","Deceleration move"
"v1.IncrementDice",5503644545024,"かそくほう","Acceleration move"
"v1.ReverseSet",5576403136512,"いんとくほう","Concealment"
"v1.MakeCopyOfSetCoin",5637195378688,"ふくせい","Copy"
"v1.AppendConditionDamage.Fire.20",5701607305216,"えんじょうきょうかほう","Spread of fire"
"v1.AppendConditionDamage.Poison.20",5762345021440,"どくきょうかほう","Spread of poison"
"v1.TurnAdd",5826907942912,"たぁんかそくほう","Acceleration turn"
"v1.MustUse",5879798116352,"こいんきょうせいしようれい","Forced use"
"v1.ReturnSetToHand",5932642152448,"かいしゅう","Collection"
"v1.ReturnTrashToHand",5982696976384,"さいりよう","Reuse"
"v1.ConditionCount",6024447078400,"いじょうすいしんほう","Change promotion"
"v1.MyTrashToExclusion",6092579352576,"はかばまっしょう","Erasure of a grave"
"v1.InvalidEffectSetCoin",6146056728576,"むこうか","Disablement"
"v1.DestroyALLCopySetCoins",6196463874048,"ですとろいこぴぃ","Destroy the duplicate"
"v1.SetBooster",6257646186496,"まいんぶぅすたぁ","Mine booster"
"v1.ShotBooster",6315032653824,"しょっとぶぅすたぁ","Shot booster"
"v1.GuardBooster",6369717989376,"がぁどぶぅすたぁ","Guard booster"
"v1.SmallPhysicalShield",6431755939840,"てつのしょうたて","Small shield made of iron"
"v1.PhysicalShield",6473023696896,"てつのたて","Shield made of iron"
"v1.LargePhysicalShield",6634852528128,"てつのおおたて","Large shield made of iron"
"v1.SmallMagicShield",6688237629440,"まほうのしょうたて","Small magic shield"
"v1.MagicShield",6764263583744,"まほうのたて","Magic shield"
"v1.LargeMagicShield",6819020222464,"まほうのおおたて","Large magic shield"
"v1.SpikeShield",6972183621632,"すぱいくしぃるど","Spike shield"
"v1.ProtoFullProtectionShield",7041213476864,"ぜったいぼうぎょたてしさくがた","Complete protection shield [prototype]"
"v1.MassProFullProtectionShield",7096548929536,"ぜったいぼうぎょたて","Complete protection shield"
"v1.ProtoFullReflectionShield",7148738654208,"ぜったいはんしゃたてしさくがた","Complete reflection shield [prototype]"
"v1.MassProFullReflectionShield",7205462421504,"ぜったいはんしゃたて","Complete reflection shield"
"v1.LastHopeShield",7267634589696,"さいごのきぼう","Last hope"
"v1.BlessedShield",7322793881600,"めぐみのたて","Blessed shield"
"v1.ConcurrentShield",7371997261824,"かさねたて","Concurrent shield"
"v1.GrowUpShield",7440976785408,"ぐろうすしぃるど","Growing shield"
"v1.ShieldSpirit",7498560385024,"しぃるどすぴりっと","Shield spirit"
"v1.GuardFaintness",7551408615424,"だつりょくのたて","Shield of deactivation"
"v1.ShockAbsorptionShield",7615132676096,"しょうげききゅうしゅうたて","Shock absorption shield"
"v1.ShockAbsorptionWall",7669516021760,"しょうげききゅうしゅうかべ","Shock absorption wall"
"v1.CuttingRegistShield",7721596694528,"かっとしぃるど","Cutting resistance shield"
"v1.ScaleArmor",7783403958272,"すけぇるあぁまぁ","Scale armor"
"v1.ArmGuard",7837523062784,"しゅこう","Arm guard"
"v1.Buckler",7887380754432,"ばっくらぁ","Buckler"
"v1.Camouflage",7936185675776,"かもふらぁじゅ","Camouflage"
"v1.Invisible",7988614475776,"いんびじぶる","Invisible"
"v1.MystBody",8057149403136,"みすとぼでぃ","Myst body"
"v1.BricksWall",8161440772096,"れんがかべ","Bricks wall"
"v1.Dodge",8215304024064,"どっじ","Dodge"
"v1.SmallShield",8265514037248,"しょうたて","Small shield"
"v1.Shield",8315401089024,"たて","Shield"
"v1.LargeShield",8356551405568,"おおたて","Large shield"
"v1.Decoy",8426394955776,"でこい","Decoy"
"v1.NeedleArmor",8475451535360,"にぃどるあぁまぁ","Needle armor"
"v1.BlessedArrow",8532120776704,"めぐみのや","Blessed arrow"
"v1.ConcurrentArrow",8580321718272,"れんぞくや","Concurrent arrow"
"v1.InfinityArrow",8626123517952,"いんふぃにてぃあろぉ","Infinity arrow"
"v1.BloodDagger",8681236672512,"ぜつめいのないふ","Blood dagger"
"v1.SlingShot",8731660595200,"すりんぐしょっと","Sling shot"
"v1.DuplicateArrow",8787511947264,"ふくせいや","Duplicate arrow"
"v1.HeavyAttack",8834035167232,"じゅうあつげき","Heavy attack"
"v1.ShotSpirit",8879371399168,"しょっとすぴりっと","Shot spirit"
"v1.IronDagger",8932475482112,"あいあんだがぁ","Iron dagger"
"v1.IronSword",8984493240320,"あいあんそぉど","Iron sword"
"v1.IronLongSword",9031918235648,"あいあんろんぐそぉど","Iron long sword"
"v1.StoneMissile",9082623176704,"すとぉんみさいる","Stone missile"
"v1.Meteor",9134481551360,"めてお","Meteor"
"v1.FairySting",9181021548544,"ようせいのはり","Fairy needle"
"v1.CrowdStones",9228572372992,"ぐんしゅうのいしつぶて","Crowd stones"
"v1.ToyGun",9278501367808,"おもちゃのじゅう","Toy gun"
"v1.EarthQuake",9325645344768,"あぁすくぇいく","Earth quake"
"v1.ColdRain",9376937488384,"つめたいあめ","Cold rain"
"v1.CurseSword",9423800446976,"じゅじん","Curse sword"
"v1.GoldenArrow",9470466273280,"きんのや","Golden arrow"
"v1.RisingStar",9520680480768,"さきがけのゆうしゃ","The new brave"
"v1.RisingStarFan",9573306413056,"ゆうしゃのおっかけ","Chasing the Brave"
"v1.BlessedTrap",9624640499712,"めぐみのわな","Blessed trap"
"v1.ConcurrentTrap",9668768772096,"じらいかい","Concurrent trap"
"v1.IncertitudeTrap",9713052233728,"ふあんていなわな","Incertitude trap"
"v1.BlastTrap",9759575453696,"ばくはつわな","Blast trap"
"v1.Diabrosis",9803309461504,"だいちをくらうもの","Diabrosis"
"v1.Scapegoat",9853905350656,"すけぇぷごぉと","Scapegoat"
"v1.FusionBomb",9911107268608,"ゆうごうばくだん","Fusion bomb"
"v1.CowardiceBeetle",9958272217088,"えすけぇぷびぃとる","Cowardice beetle"
"v1.MagicCollector",10009950236672,"まじっくこれくたぁ","Magic collector"
"v1.ManEater",10058675466240,"まんいぃたぁ","ManEater"
"v1.GraveKeeper",10106800910336,"はかもり","Grave keeper"
"v1.PropagateVirus",10152091004928,"ぞうしょくうぃるす","Propagate virus"
"v1.CorpseShoulder",10199763464192,"じょうようじゅう","Corpse shoulder"
"v1.BeastTamer",10248891346944,"びぃすとていまぁ","Beast tamer"
"v1.MachineRider",10325391257600,"ましんらいだぁ","Machine rider"
"v1.GoldenTrap",10388628779008,"きんのわな","Golden trap"
"v1.CoinCollector",10431595229184,"こいんこれくたぁ","Coin collector"
"v1.Fighter",10484858695680,"ふぁいたぁ","Fighter"
"v1.Sorcerer",10539619528704,"そぉさらぁ","Sorcerer"
"v1.VeteranFighter",10595177279488,"べてらんふぁいたぁ","Veteran fighter"
"v1.MoanBeast",10654224691200,"かえりをまつけもの","Moan beast"
"v1.BeastPackHead",10712064143360,"むれるけもののおさ","Chief of the Beasts"
"v1.TrashWatcher",10760869064704,"せいそうぎょうしゃ","Trash watcher"
