Key,Id,Japanese(ja),English(en)
"CoinVersionAll",441346109440,"すべて","All"
"coinVersion",630429528064,"使用できるコインバージョン[{str}]","Available coin versions[{str}]."
"deckCoinNumMax",1722412380160,"デッキ最大枚数{num}","Maximum number of coins in deck {num}"
"deckCoinNumMin",1862099480576,"デッキ最小枚数{num}","Minimum number of coins in deck {num}"
"deckCoinTotalSizeMax0",1888070610944,"デッキ総コインサイズ指定なし","Deck total coin size not specified"
"coinNumMaxInDeck",1913286766592,"同種コイン{num}枚","Coins of the same kind {num}"
"coinLimitNums0",2051988205568,"コイン別の枚数制限なし","No limit on the number of coins per coin."
"sideDeckCoinNumMax",2571482116096,"サイドデッキ最大枚数{num}","Maximum number of coins in side deck {num}"
"sideDeckCoinNumMin",2589366628352,"サイドデッキ最小枚数{num}","Minimum number of coins in side deck {num}"
"deckCoinTotalSizeMax1",3082784550912,"デッキ総コインサイズ{num}","Total deck coin size {num}"
"coinLimitNums1",4904475635712,"コイン別の枚数制限[{str}]","Limit on the number of coins per coin [{str}]."
"forceAddcoins0",17803498943361024,"強制追加コイン無し","No additional coins forced"
"forceAddcoins1",17803516886593536,"強制追加[{str}]","Forced additional [{str}]."
"usableCoins0",17836158457688064,"未所持でも使用可能なコインなし","No coins available for unclaimed"
"usableCoins1",17836179324350464,"未所持でも使用可能なコイン[{str}]","Coins available for unclaimed [{str}]."
"useSideDeck",53267035832397824,"サイドデッキを使用する","Use side deck"
