Key,Id,Japanese(ja),English(en)
"Stock",57428881408,"ストック","Stock place"
"Hand",141394653184,"手持ち","holdings"
"Field",219500982272,"フィールド","Field"
"Trash",287826194432,"捨て場","Trash place"
"You",4150926979072,"あなた","you"
"Player",4262080229376,"プレイヤー","player"
"Opponent",4341490987008,"他のプレイヤー","other players"
"HiddenSide",5716052488192,"裏向き","hidden side"
"VisibleSide",6041576615936,"表向き","visible side"
"人間",16398777004032,"人間","human"
"獣",16431010230272,"獣","beast"
"植物",16459019792384,"植物","plant"
"死霊",16484454051840,"死霊","ghost"
"機械",16510710394880,"機械","machine"
"異次元",16537948205056,"異次元","another dimension"
"物理",16563638317056,"物理","physics"
"魔法",16588908998656,"魔法","magic"
"接触",16617413488640,"接触","touch-range"
"隣接",16643715969024,"隣接","adjacent-range"
"長射程",16669393498112,"長射程","long-range"
"切断",16695314296832,"切断","cutting"
"殴打",16721709051904,"殴打","strike"
"刺突",16746702909440,"刺突","piercing"
"爆発",16772413992960,"爆発","explosion"
"AbnormalState",23533871116288,"状態異常","abnormal state"
"Resource",49611390005248,"行動力","resource"
"SettedAttack",438210522460160,"設置攻撃","installation attack"
"Copy",804199323873280,"複製","copy"
"DirectAttack",821364739485696,"直接攻撃","direct attack"
"Support",821445446283264,"サポート","support"
"Guard",821591408062464,"防御","guard"
"SettedAttackCoin",2247386332606464,"設置攻撃コイン","Installation attack coin"
"DirectAttackCoin",2247421879332864,"直接攻撃コイン","Direct attack coin"
"SupportCoin",2247442850852864,"サポートコイン","Support coin"
"GuardCoin",2247464778674176,"防御コイン","Guard coin"
"Other",2247487100760064,"その他","other"
"OtherCoin",2247501441085440,"その他コイン","other coin"
"ElapsedTurn",2251055383916544,"経過ターン","elapsed turn"
"LotCoinTicketV1",2251187227668480,"コインくじ","lot coin ticket"
"ExchangeCoinTicketV1",2251208727670784,"コイン引換券","exchange coin ticket	"
"Range",2252734820986880,"射程","range"
"Damage",2253064375840768,"ダメージ","damage"
"Protection",2254361745371136,"軽減","protection"
"Special",2254859282100224,"特殊","special"
"Or",2269402695675904,"または","or"
"Setted",2904731358277632,"設置","installed"
"Size",3335747860377600,"サイズ","size"
"Coexistence",3336498326220800,"共存","coexistence"
"Count",3339545194475520,"カウント","count"
"ターン開始",3713201045188608,"ターン開始","Start of turn"
"コイン取得",3713238366105600,"コイン取得","Coin Acquisition"
"コイン使用",3713267722039296,"コイン使用","Use coins"
"手持ちコインの調整",3713323862798336,"手持ちコインの調整","Adjusting the coins in your hand"
"ターン終了",3713353730437120,"ターン終了","End of turn"
"準備中",3714927332634624,"準備中","in preparation"
"コイン選択",3714975609073664,"コイン選択","Coin Selection"
"追加コストの選択",3715000108003328,"追加コストの選択","Selecting additional costs"
"対象エリアの選択",3715025399656448,"対象エリアの選択","Select the target area."
"隣接エリアの選択",3715048623517696,"隣接エリアの選択","Select an adjacent area"
"Types",4437209210368000,"種類別","types"
"Import",4438267408101376,"取り込み","import"
"InInventory",4438726533394432,"所持数","in inventory"
"DuelOnly",4439077470810112,"所持できない。","I can't own this."
"Termination",5056334483894272,"終了中","in the middle of a termination"
"ChangeTurn",5056947322040320,"ターン変更","changing turn"
"Ready",5057093338345472,"準備中","in preparation"
"移動",6233383948988416,"移動","Move"
"ダイスをふる",7930538560532480,"ダイスをふる","Throw a dice"
"移動先の選択",7930574417637376,"移動先の選択","Select the destination"
"移動中",7930605551955968,"移動中","Moving"
"ConditionCount",7963585339142144,"状態異常発動カウント","state trigger count"
"ConditionBaseDamage",7964202958794752,"状態異常基礎","state base"
"CoinStatus",7992498492747776,"コインステータス","Coin status"
"AreaStatus",7992550032355328,"エリアステータス","Area status"
"コイン実行",10145080912850944,"実行中","During execution"
"Casual",10473682091061248,"カジュアル","Casual"
"Normal",10474005434150912,"ノーマル","Normal"
"Earnest",10474068780724224,"ガチ","Earnest"
"Custom",10474129455525888,"カスタム","Custom"
"Event",10474199231967232,"イベント","Event"
"SettedCoins",22090829628125184,"設置されたコイン","installed coins"
"SettedCoin",22092933755252736,"設置コイン","Installed coins"
"中射程",31976513369223168,"中射程","middle-range"
"特殊射程",31976753262440448,"特殊射程","special-range"
"TieGame",63419088122621952,"引き分け","Tie game"
"Attacker",63705024714715136,"攻撃者","Attacker"ttacker"
