Key,Id,Japanese(ja),English(en)
"ActionAddCoinStatus",201243176960,"コイン[{name}]にステータス[{status}]を付与","Coin [{name}] with status [{status}]"
"ActionAddConditionToArea",288727969792,"エリア[{area}]に状態異常[{status}]を付与","Abnormal status [{status}] is given to area [{area}]"
"ActionAddCopyToPlayer",423700672512,"コイン[{name}]の複製を[{coinposition}]に作成","Create a duplicate of coin [{name}] at [{coinposition}]"
"ActionAddCopyToSet",500653568000,"コイン[{name}]の複製をエリア[{area}]に設置","Coin [{name}] duplicate in area [{area}]"
"ActionAddPlayerCondition",563895283712,"状態異常[{status}]をプレイヤー{playerno}に付与","Coin [{name}] duplicate in area [{area}]"
"ActionAddResource",633638170624,"行動力[{value}]をプレイヤー{playerno}に付与","Action power [{value}] to player {playerno}"
"ActionAddTurn",699216113664,"コイン{count}枚の経過ターン数が[{value}]増加","Elapsed turns of coins {count} increased by [{value}]"
"ActionAreaExpand",866770169856,"エリアを拡張","Extended area"
"ActionAreaShrink",967781593088,"エリアを縮小","Reduced area"
"ActionChangeAreaType",1047309791232,"エリア[{area}]のタイプを[{areatype}]に変更","Changed area [{area}] type to [{areatype}]"
"ActionChangeResource",1130780635136,"プレイヤー{playerno}の行動力を[{value}]に変更","Changed player {playerno}'s action power to [{value}]"
"ActionClearPlayerCondition",1310716276736,"プレイヤー{playerno}は状態異常を全て失う","Player {playerno} loses all status changes"
"ActionDamageCoin",1379725160448,"プレイヤー{playerno}はコイン[{coinname}]によりダメージ{damage}を受ける","Player {playerno} is damaged by coin [{coinname}]"
"ActionDamageStatus",1450298519552,"プレイヤー{playerno}は状態異常[{status}]からダメージ{damage}を受ける","Player {playerno} takes damage {damage} from [{status}]"
"ActionMoveCoinsToExclusion",1894236237824,"コイン{count}枚を除外","Exclude {count} coins"
"ActionMoveCoinsToPlayer",1950590906368,"コイン{count}枚を[{coinposition}]に移動","Move {count} coins to [{coinposition}]"
"ActionMoveCoinsToSet0",2003304919040,"コイン[{name}]をエリア[{area}]に設置","Coin [{name}] is placed in area [{area}]"
"ActionMoveCoinsToSet1",2103422078103552,"コイン{count}枚をエリア[{area}]に設置","Place {count} coins in area [{area}]"
"ActionMovePlayer",2062356525056,"プレイヤー{playerno}はエリア[{area}]に移動","Player {playerno} moves to area [{area}]"
"ActionRemovePlayerCondition",2208813232128,"プレイヤー{playerno}は状態異常[{status}]を失う","Player {playerno} loses status [{status}]"
"ActionSetAppendResourceToArea",2267168583680,"エリア[{area}]に行動力[{value}]追加を付与","Grant additional action [{value}] to area [{area}]"
"ActionSetTurn",2350077390848,"コイン[{name}]の経過ターン数を[{value}]に変更","Changed the number of turns elapsed for coins [{name}] to [{value}]"
"ActionSetTurnAreaCoin",2405152796672,"コイン[{name}]の経過ターン数を[{value}]に変更","Changed the number of turns elapsed for coins [{name}] to [{value}]"
"ActionShuffleStock",2461792677888,"プレイヤー{playerno}のストックをシャッフルする","Shuffle player {playerno}'s stock"
