Key,Id,Japanese(ja),English(en)
"IEnvironmentChangeDice0",1530367782912,"移動時ダイス目+{value}","Movement dice +{value}"
"IEnvironmentChangeDice1",1573598474240,"移動時ダイス目-{value}","Movement dice -{value}"
"IEnvironmentAddUsableCoinType",2591086292992,"使用コイン種類追加 ステップ{no} {type}","Additional coin types used. Step{no} {type}"
"IEnvironmentAppendConditionDamage0",3916838678528,"[{name}]ダメージ {value}増加","[{name}]Damage {value} increase"
"IEnvironmentAppendConditionDamage1",3928352043008,"[{name}]ダメージ {value}減少","[{name}]Damage {value} reduced"
"IEnvironmentExpandArea",180464870961152,"両端にエリア追加","Add areas at both ends"
"IEnvironmentConditionCount0",360125223612416,"{abnormalstate}{count}+{value}","{abnormalstate}{count}+{value}"
"IEnvironmentConditionCount1",360148694937600,"{abnormalstate}{count}-{value}","{abnormalstate}{count}-{value}"
"IEnvironmentExpandPack0",362535446851584,"{handcoin}+{value}","{handcoin}+{value}"
"IEnvironmentExpandPack1",362554912616448,"{handcoin}-{value}","{handcoin}-{value}"
"IEnvironmentExpandTurnResource0",363634471940096,"{resource}+{value}","{resource}+{value}"
"IEnvironmentExpandTurnResource1",363674191998976,"{resource}-{value}","{resource}-{value}"
"IEnvironmentMustUse0",370926315581440,"コイン使用は任意","Coin use is optional"
"IEnvironmentNoNeed0",722644719054848,"使用制限は有効","Restrictions on use are in effect."
"IEnvironmentReverseSet0",728446955630592,"表向き配置","Front arrangement"
"IEnvironmentTurnAdd0",729004101808128,"ターン毎の加算数{value}増加","Increase in the number of additions per turn {value}"
"IEnvironmentTurnAdd1",729365097164800,"ターン毎の加算数{value}減少","Decrease in the number of additions per turn {value}"
"IEnvironmentMustUse1",6596172656640,"コイン使用強制","Forced use of coins"
"IEnvironmentNoNeed1",6702972219392,"使用制限無効化","Disable usage restrictions"
"IEnvironmentReverseSet1",6738363756544,"裏向き配置","Placement in reverse"
