Key,Id,Japanese(ja),English(en)
"PlayerConditionDetailConfusionMove",165176356864,"移動フェイズで複数の方向に進める場合、カウントが{count}以上ならランダムに選択される。その後カウントは0になる。","In the next movement phase after the count is greater than or equal to {count}, if it advances in more than one direction, it will be selected at random. The count then becomes zero."
"PlayerConditionDetailCurse",283359260672,"カウントが{count}以上になった時、敗北する。","When the count reaches {count} or more, you are defeated."
"PlayerConditionDetailElectric",304209145856,"ターン終了時、カウントが{count}以上なら{value}ダメージを受ける。その後カウントは0になる。","At the end of the turn after the count becomes {count} or more, it takes {value} damage. The count then becomes 0."
"PlayerConditionDetailFire",334689153024,"ターン終了時、{count}×{value}ダメージを受ける。その後カウントが半減する。(端数切り捨て)","At the end of each turn, you take {count} times {value} damage. The count is then halved. (Round down to the nearest whole number)."
"PlayerConditionDetailFixDice",361314594816,"次の移動フェイズで移動量が{value}に固定される。(ダイス目の補正は無視される)","The next time you move phase, the amount of movement is fixed to {value}. (Ignore the correction for die rolls)."
"PlayerConditionDetailStop",384790114304,"自分のターンの開始時、カウントが{count}以上なら相手のターンになる。その後カウントは0になる。","The next turn of yours after the count reaches {count} or more is skipped. The count then becomes 0."
"PlayerConditionDetailPoison",409268072448,"ターン終了時、{value}ダメージを受ける。その後カウントは1減る。カウントが{count}以上だった場合、代わりに{count}×{value}ダメージを受ける。その後カウントは0になる。","You take {value} damage at the end of each turn. The count is then reduced by 1. If the count is greater than or equal to {count}, you take {value} times {count} damage instead. The count then becomes 0."
"PlayerConditionDetailVirus",432080891904,"ターン終了時、カウントが{count}以上なら{handcoin}を全て{trashcoin}に移動する。その後カウントは0になる。","When the count is greater than or equal to {count}, all {handcoin} will be moved to {trashcoin}. The count then becomes 0."
"PlayerConditionDetailAppendSetAttack",455304753152,"所有する{settedattackcoin}がダメージを与える時、一度のみダメージが増加する。","When the {settedattackcoin} you own deals damage, the damage is increased only once."
"PlayerConditionDetailAppendDirectAttack",476355964928,"{directattackcoin}でダメージを与える時、一度のみダメージが増加する。","When dealing damage with {directattackcoin}, the damage is increased only once."
"PlayerConditionDetailAppendGuard",497432342528,"{guardcoin}を使用する時、一度のみ防御力が増加する。","When using {guardcoin}, defense is increased only once."
"PlayerConditionDetailSkipSupport",519167225856,"次の{supportcoin}使用フェイズで、カウントが{count}以上なら{supportcoin}を使用できない。その後カウントは0になる。","In the next {supportcoin} use phase, if the count is more than {count}, {supportcoin} cannot be used. After that, the count becomes 0."
"PlayerConditionDetailSkipDirectAttack",540881137664,"次の{directattackcoin}使用フェイズで、カウントが{count}以上なら{directattackcoin}を使用できない。その後カウントは0になる。","In the next {directattackcoin} use phase, if the count is more than {count}, {directattackcoin} cannot be used. After that, the count becomes 0."
"PlayerConditionDetailSkipGuard",561764577280,"次の{guardcoin}使用フェイズで、カウントが{count}以上なら{guardcoin}が使用できない。その後カウントは0になる。","In the next {guardcoin} use phase, if the count is more than {count}, {guardcoin} cannot be used. After that, the count becomes 0."
"PlayerConditionDetailSkipMove",583306522624,"次の移動フェイズで、カウントが{count}以上なら移動せず現在のエリアにとどまる。その後カウントは0になる。","In the next Movement Phase, if the count is {count} or more, it does not move and stays in the current area. After that, the count becomes 0."
"PlayerConditionDetailSkipSet",604554866688,"次の{settedcoin}使用フェイズで、カウントが{count}以上なら{settedcoin}が使用できない。その後カウントは0になる。","In the next {settedcoin} use phase, if the count is more than {count}, {settedcoin} cannot be used. After that, the count becomes 0."
"PlayerConditionDetailAppendDirectAttack0",30412859721068544,"{directattackcoin}でダメージを与える時、一度のみダメージが{value}増加する。","When dealing damage with {directattackcoin}, the damage is increased by {value} only once."
"PlayerConditionDetailAppendDirectAttack1",30412884467462144,"{directattackcoin}でダメージを与える時、一度のみダメージが{value}減少する。","When dealing damage with {directattackcoin}, the damage is reduced by {value} only once."
"PlayerConditionDetailAppendGuard0",30414065877069824,"{guardcoin}を使用する時、一度のみ防御力が{value}増加する。","When using {guardcoin}, the defense is increased by {value} only once."
"PlayerConditionDetailAppendGuard1",30414097271435264,"{guardcoin}を使用する時、一度のみ防御力が{value}減少する。","When using {guardcoin}, defense is reduced by {value} only once."
"PlayerConditionDetailAppendSetAttack0",30415556734038016,"所有する{settedattackcoin}がダメージを与える時、一度のみダメージが{value}増加する。","When the {settedattackcoin} you own deals damage, the damage is increased by {value} only once."
"PlayerConditionDetailAppendSetAttack1",30415584278032384,"所有する{settedattackcoin}がダメージを与える時、一度のみダメージが{value}減少する。","When the {settedattackcoin} you own deals damage, the damage is reduced by {value} only once."
"PlayerConditionDetailSkipDraw",118022203609919488,"次のドローフェイズで、カウントが{count}以上ならドローできない。その後カウントは0になる。","In the next draw phase, if the count is {count} or more, you cannot draw. After that, the count becomes 0."
