Key,Id,Japanese(ja),English(en)
"PlayerConditionDetailConfusionMove",165176356864,"混乱","Confusion"
"PlayerConditionDetailCurse",283359260672,"呪い","Curse"
"PlayerConditionDetailElectric",304209145856,"帯電","Electrification"
"PlayerConditionDetailFire",334689153024,"炎上","Blazing up"
"PlayerConditionDetailFixDice",361314594816,"ダイス固定","Dice fixed"
"PlayerConditionDetailStop",384790114304,"ストップ","Stop"
"PlayerConditionDetailPoison",409268072448,"毒","Poison"
"PlayerConditionDetailVirus",432080891904,"感染","Infection"
"PlayerConditionDetailAppendSetAttack",455304753152,"設置攻撃強化","Enhanced installation attack coin"
"PlayerConditionDetailAppendDirectAttack",476355964928,"直接攻撃強化","Enhanced direct attack coin"
"PlayerConditionDetailAppendGuard",497432342528,"防御強化","Enhanced guard coin"
"PlayerConditionDetailSkipSupport",519167225856,"サポート禁止","Support coin prohibited"
"PlayerConditionDetailSkipDirectAttack",540881137664,"直接攻撃禁止","Direct attack coin prohibited"
"PlayerConditionDetailSkipGuard",561764577280,"防御禁止","Guard coin prohibited"
"PlayerConditionDetailSkipMove",583306522624,"移動禁止","Prohibits movement"
"PlayerConditionDetailSkipSet",604554866688,"設置禁止","Installation coin prohibited"
"PlayerConditionDetailSkipDraw",118026118271283200,"ドロー禁止","Prohibits the acquisition of coins"
"PlayerConditionDetailGravity",158159452649238528,"荷重","Gravity"
