Key,Id,Japanese(ja),English(en)
"SelectLocalizationTitle",17880788992,"Select Language","表示言語"
"SelectLocalizationJP",1001277304832,"Japanese","日本語"
"SelectLocalizationEN",1171754790912,"English","英語"
"Title",17734641856512,"KoKoCoin","KoKoCoin"
"Start",17830104215552,"開始","Start"
"StartWithMute",17907291992064,"消音で開始","Start With Mute"
"Setting",18028075364352,"設定","Setting"
"About",18112083079168,"このアプリについて","About"
"ScreenSize",48474477768704,"スクリーンサイズ","Screen Size"
"Default",48626168967168,"デフォルト","Default"
"RefreshRate",48691973402624,"リフレッシュレート","RefreshRate"
"Low",48847863099392,"低","Low"
"Middle",48911247421440,"中","Middle"
"High",49008265867264,"高","High"
"ScreenDirect",49084316987392,"画面向き","Screen Direct"
"Landscape",49194291638272,"横","Landscape"
"Portrait",49305180647424,"縦","Portrait"
"ShowCoinName",49431852822528,"コイン詳細表示","Coin Detail Display"
"FullScreen",49520889507840,"フルスクリーン","Full Screen"
"DeleteAllData",49600665169920,"すべてのデータを削除","Delete All Data"
"PlayerIconTitle",49725621874688,"プレイヤーアイコン","Player Icon"
"Back",54101342105600,"戻る","Back"
"Sound",54151329820672,"音","Sound"
"Connect",54218115723264,"接続","Connect"
"ExitApp",54306355490816,"アプリを終了","Exit App"
"General",54689006039040,"全般","General"
"BGM",55225855979520,"BGM","BGM"
"SoundEffect",55271024439296,"効果音","Sound Effect"
"SelectBGM",55366449049600,"選択BGM","Select BGM"
"SelectSoundEffect",55446480564224,"選択効果音","Select Sound Effect"
"ConnectOfflineTitle",55888203689984,"オフライン対戦で使用する接続","Use Offline Connect"
"CheckPermission",56440090210304,"権限確認","Check Permission"
"Channel",57602365403136,"チャンネル","Channel"
"OfflineConnectComment",57690923937792,"一緒に遊びたい人と同じ接続方法を選んでください。","Choose the same connection method as the person you want to play with."
"AllowOnline",58385844613120,"オンライン接続を許可","Allow Online"
"ShowAd",58613591126016,"広告を表示","Show Ad"
"ShowAdBunner",58733879570432,"バナー型広告を表示","Display banner-type ads"
"ShowAdInterstitial",59001983676416,"全画面型広告を表示","Display interstitial-type ads"
"ShowAdReward",59261212635136,"広告表示ボタンを追加","Add a button to display ads"
"Top",59581128978432,"上","Top"
"Bottom",59624552607744,"下","Bottom"
"ShowAdInterstitialOutEdit",59803850715136,"編集終了","Editing finished"
"ShowAdInterstitialInLobby",60326649737216,"ロビーに入る時","When you enter the lobby"
"ShowAdInterstitialOutDuel",61271001477120,"対戦終了時","at the end of duel"
"ShowAdInterstitialOther",61701274152960,"その他","other"
"DisplayInterval",61836880195584,"表示間隔","Display interval"
"Minutes",61985576660992,"分","min"
"DisplaySetting",73991545368576,"表示設定","Display setting"
"StartSearch",74567083569152,"検索実行","Start Search"
"StartWait",74644233596928,"待ち受け実行","Start Wait"
"SearchResult",74999558254592,"見つかったプレイヤー","Players found"
"Casual",75337988255744,"カジュアル","Casual"
"Normal",75422356680704,"ノーマル","Normal"
"Earnest",75481030799360,"ガチ","Earnest"
"Custom",77701264650240,"カスタム","Custom"
"Event",77765244563456,"イベント","Event"
"Point",77852695801856,"Point","Point"
"Ad",77900053688320,"広告","Ad"
"VSNPC",77971667234816,"NPC対戦","vs NPC"
"VSOffline",78213326254080,"オフライン対戦","vs Offline"
"VSOnline",78279948578816,"オンライン対戦","vs Online"
"BackToTitle",78370147086336,"タイトルに戻る","Back to title"
"EditDeck",78466578329600,"デッキ編集","Edit Deck"
"CoinsList",78531556487168,"コイン一覧","Coins List"
"EditRule",78594030645248,"ルール編集","Edit Rule"
"BackToTitleShort",83217164480512,"タイトル","Title"
"CopyRule",83773383716864,"ルール複製","Copy rule"
"DeleteRule",83856200249344,"ルール削除","Delete rule"
"CopyDeck",84457768300544,"デッキ複製","Copy deck"
"DeleteDeck",84538508652544,"デッキ削除","Delete deck"
"UseDeck",84601322549248,"使用デッキ","Select Use Deck"
"Favorite",85512690282496,"お気に入り","Favorite"
"Changes",85685797597184,"変更箇所","Changes"
"RuleName",86606380216320,"ルール名","Rule Name"
"DeckRuleTitle",86841101856768,"デッキルール","Deck Rule"
"CoinLimitInDeck",87067069984768,"デッキ枚数","coin limit in deck"
"LowerLimit",87431445950464,"下限","lower limit"
"UpperLimit",87683833999360,"上限","upper limit"
"CoinVersion",87808375468032,"コインバージョン","Coin Version"
"TotalCoinSizeInDeck",88340016082944,"デッキ内のコインサイズ合計","Total coin size in deck"
"LimitationsByCoin",88805562855424,"デッキに含める事ができる、同じコインの枚数","Number of identical coins that can be included in the deck"
"NumberOfLimitsByCoin",89277241700352,"コイン個別の枚数","Number of individual coins"
"Regist",90022724710400,"登録","Regist"
"UnRegist",90080157315072,"解除","Unregist"
"DuelRuleTitle",90592046952448,"デュエルルール","Duel Rule"
"NumberOfRoundsToWin",90939532455936,"勝利本数","Number of Rounds To Win"
